SCHID,LAT,LONG,GEOCODE_STATUS
03500010,-999.0,-999.0,FAILED
03510805,-999.0,-999.0,FAILED
03510860,-999.0,-999.0,FAILED
03700026,-999.0,-999.0,FAILED
04060705,-999.0,-999.0,FAILED
04070405,42.3235335,-71.0728876,GEOCODED
04090205,-999.0,-999.0,FAILED
04100205,42.3319305,-71.0656035,GEOCODED
04110305,42.3503606,-71.1455695,GEOCODED
04120530,42.2455401,-71.1321278,GEOCODED
04130505,-999.0,-999.0,FAILED
04140305,-999.0,-999.0,FAILED
04160305,42.2621572,-71.1103212,GEOCODED
04170205,42.3168223,-71.083212,GEOCODED
04180305,-999.0,-999.0,FAILED
04200205,42.3921204,-71.1317298,GEOCODED
04240505,42.3272863,-71.0817125,GEOCODED
04280305,42.2938152,-71.0934952,GEOCODED
04290010,42.4678835,-70.9491728,GEOCODED
04300305,-999.0,-999.0,FAILED
04320530,-999.0,-999.0,FAILED
04350305,-999.0,-999.0,FAILED
04360305,42.3678277,-71.0848369,GEOCODED
04380505,42.2894282,-71.0721765,GEOCODED
04390050,42.3117477,-71.0697426,GEOCODED
04400205,-999.0,-999.0,FAILED
04410505,-999.0,-999.0,FAILED
04440205,42.2931459,-71.0533815,GEOCODED
04450105,-999.0,-999.0,FAILED
04460550,-999.0,-999.0,FAILED
04470205,-999.0,-999.0,FAILED
04490305,42.3216461,-71.0608559,GEOCODED
04500105,-999.0,-999.0,FAILED
04520505,42.3339289,-71.1063387,GEOCODED
04530005,-999.0,-999.0,FAILED
04540205,-999.0,-999.0,FAILED
04550050,-999.0,-999.0,FAILED
04560050,-999.0,-999.0,FAILED
